[20.05.2026 08:33:14] Создан одиночный заказ ID: 1 (Вес: 12.000000, Объем: 12.000000)
[20.05.2026 08:33:20] Для заказа ID 1 выбрана стратегия поиска: 2
[20.05.2026 08:33:20] Заказ ID 1 успешно распределен на Truck_Ford_F650  за 6.963047 руб.
[20.05.2026 08:33:39] Заказ ID 2 добавлен в пул для групповой доставки
[20.05.2026 08:33:41] Запрошен просмотр доступного автопарка
[20.05.2026 08:33:42] Запрошен просмотр доступного автопарка
[20.05.2026 08:33:43] Запрошен просмотр доступного автопарка
[20.05.2026 08:34:05] Предупреждение: Некорректный ввод пункта меню
[20.05.2026 08:34:05] Предупреждение: Некорректный ввод пункта меню
[20.05.2026 08:34:05] Предупреждение: Некорректный ввод пункта меню
[20.05.2026 08:34:05] Предупреждение: Некорректный ввод пункта меню
[20.05.2026 08:34:05] Предупреждение: Некорректный ввод пункта меню
[20.05.2026 08:34:05] Предупреждение: Некорректный ввод пункта меню
[20.05.2026 08:34:05] Предупреждение: Некорректный ввод пункта меню
[20.05.2026 08:34:05] Предупреждение: Некорректный ввод пункта меню
[20.05.2026 08:34:05] Предупреждение: Некорректный ввод пункта меню
[20.05.2026 08:34:05] Предупреждение: Некорректный ввод пункта меню
[20.05.2026 08:34:05] Предупреждение: Некорректный ввод пункта меню
[20.05.2026 08:34:05] Предупреждение: Некорректный ввод пункта меню
[20.05.2026 08:34:05] Предупреждение: Некорректный ввод пункта меню
[20.05.2026 08:34:05] Предупреждение: Некорректный ввод пункта меню
[20.05.2026 08:34:05] Предупреждение: Некорректный ввод пункта меню
[20.05.2026 08:34:05] Предупреждение: Некорректный ввод пункта меню
[20.05.2026 08:34:05] Предупреждение: Некорректный ввод пункта меню
[20.05.2026 08:34:05] Предупреждение: Некорректный ввод пункта меню
[20.05.2026 08:34:05] Предупреждение: Некорректный ввод пункта меню
[20.05.2026 08:34:05] Предупреждение: Некорректный ввод пункта меню
[20.05.2026 08:34:05] Предупреждение: Некорректный ввод пункта меню
[20.05.2026 08:34:05] Предупреждение: Некорректный ввод пункта меню
[20.05.2026 08:34:05] Предупреждение: Некорректный ввод пункта меню
[20.05.2026 08:34:05] Предупреждение: Некорректный ввод пункта меню
[20.05.2026 08:34:05] Предупреждение: Некорректный ввод пункта меню
[20.05.2026 08:34:05] Предупреждение: Некорректный ввод пункта меню
[20.05.2026 08:34:05] Предупреждение: Некорректный ввод пункта меню
[20.05.2026 08:34:05] Предупреждение: Некорректный ввод пункта меню
[20.05.2026 08:34:05] Предупреждение: Некорректный ввод пункта меню
[20.05.2026 08:34:05] Предупреждение: Некорректный ввод пункта меню
[20.05.2026 08:34:05] Предупреждение: Некорректный ввод пункта меню
[20.05.2026 08:34:05] Предупреждение: Некорректный ввод пункта меню
[20.05.2026 08:34:05] Предупреждение: Некорректный ввод пункта меню
